"Obsojeni polnoletni in mladoletni po statistiènih regijah, Slovenija, letno"

"STATISTIÈNA REGIJA";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019";"Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020"
"SLOVENIJA";4.30;4.50;4.60;4.10;4.10;3.90;4.30;5.71;4.72;3.99;3.39;3.16;3.05;2.40;2.38
"Pomurska";5.30;6.10;5.90;4.90;4.90;4.60;5.20;5.91;4.79;4.23;4.05;3.55;3.81;3.13;2.54
"Podravska";4.60;4.90;5.60;5.70;5.20;5.00;5.30;6.19;5.12;4.33;3.89;3.69;3.13;2.95;2.45
"Koroška";4.50;4.10;4.40;4.10;4.20;4.00;4.70;5.50;3.35;3.41;2.34;2.20;2.22;1.85;1.48
"Savinjska";3.50;3.60;3.50;3.50;3.90;3.00;3.30;4.91;4.27;3.37;2.97;2.71;2.70;2.16;2.10
"Zasavska";3.00;5.20;5.00;4.60;5.20;4.60;4.20;6.60;4.53;2.26;1.95;1.50;1.86;2.00;1.61
"Posavska";5.00;5.90;5.50;3.70;3.80;3.00;4.30;4.21;3.99;3.50;2.58;3.01;2.74;2.52;2.22
"Jugovzhodna Slovenija";4.90;5.30;5.40;5.40;5.10;5.10;5.70;8.30;7.13;6.00;5.40;4.69;4.72;4.31;3.30
"Osrednjeslovenska";3.60;3.70;3.60;2.80;2.90;2.90;2.90;5.06;3.76;3.38;2.90;2.52;2.38;2.04;1.70
"Gorenjska";3.50;3.30;3.10;2.30;2.30;2.30;2.90;3.05;3.24;2.48;2.04;1.93;1.96;1.82;1.57
"Primorsko-notranjska";3.50;3.20;3.40;2.90;3.10;3.10;2.80;3.65;3.18;3.06;1.94;1.62;2.12;2.54;1.49
"Goriška";2.40;2.50;2.00;1.80;2.10;2.10;2.30;2.48;2.21;1.97;1.87;1.85;1.75;1.41;1.24
"Obalno-kraška";5.60;4.40;4.30;4.00;3.70;3.30;4.50;5.55;4.81;3.86;3.20;2.67;3.02;2.13;1.80
"Tujina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
