"Samoocena splošnega zadovoljstva z življenjem po statistiènih regijah, Slovenija, letno"

"STATISTIÈNA REGIJA";"2012 0-4 (%)";"2012 5-6 (%)";"2012 7-8 (%)";"2012 9-10 (%)";"2012 Neznano (%)";"2012 Povpreèje";"2013 0-4 (%)";"2013 5-6 (%)";"2013 7-8 (%)";"2013 9-10 (%)";"2013 Neznano (%)";"2013 Povpreèje";"2014 0-4 (%)";"2014 5-6 (%)";"2014 7-8 (%)";"2014 9-10 (%)";"2014 Neznano (%)";"2014 Povpreèje";"2015 0-4 (%)";"2015 5-6 (%)";"2015 7-8 (%)";"2015 9-10 (%)";"2015 Neznano (%)";"2015 Povpreèje";"2016 0-4 (%)";"2016 5-6 (%)";"2016 7-8 (%)";"2016 9-10 (%)";"2016 Neznano (%)";"2016 Povpreèje";"2017 0-4 (%)";"2017 5-6 (%)";"2017 7-8 (%)";"2017 9-10 (%)";"2017 Neznano (%)";"2017 Povpreèje";"2018 0-4 (%)";"2018 5-6 (%)";"2018 7-8 (%)";"2018 9-10 (%)";"2018 Neznano (%)";"2018 Povpreèje";"2019 0-4 (%)";"2019 5-6 (%)";"2019 7-8 (%)";"2019 9-10 (%)";"2019 Neznano (%)";"2019 Povpreèje";"2020 0-4 (%)";"2020 5-6 (%)";"2020 7-8 (%)";"2020 9-10 (%)";"2020 Neznano (%)";"2020 Povpreèje"
"SLOVENIJA";7;26;45;20;1;7.1;8;26;45;20;0;7.0;9;27;46;17;1;6.9;8;24;47;20;0;7.1;7;25;48;19;0;7.1;6;22;49;22;0;7.2;6;21;48;25;0;7.3;4;18;52;26;0;7.5;5;20;50;24;0;7.4
"Pomurska";6;31;47;15;1;6.8;9;34;43;13;0;6.7;11;31;44;13;1;6.6;9;29;45;15;1;6.8;6;32;49;13;0;6.8;8;29;50;13;0;6.9;11;27;47;16;0;6.8;6;28;46;19;0;7.1;9;27;46;18;0;6.9
"Podravska";10;28;44;18;1;6.8;8;29;41;22;0;6.9;10;28;45;16;1;6.8;9;25;45;20;0;6.9;8;27;47;18;0;7.0;8;24;48;20;0;7.1;6;22;48;23;0;7.2;5;17;51;27;0;7.6;6;22;48;23;0;7.3
"Koroška";8;26;44;21;1;7.0;8;29;45;18;1;6.9;13;29;40;14;4;6.6;14;30;38;18;0;6.6;12;26;45;16;2;6.7;11;24;47;17;0;6.8;4;28;40;27;0;7.3;8;22;45;24;1;7.1;11;29;41;18;0;6.8
"Savinjska";5;29;46;19;1;7.1;8;28;44;20;0;7.0;7;29;48;16;1;6.9;9;26;45;20;0;6.9;7;29;49;15;0;6.8;7;23;48;22;0;7.2;6;23;48;22;0;7.2;5;19;55;21;0;7.4;5;22;50;23;0;7.3
"Zasavska";10;29;41;20;1;6.9;12;35;37;17;0;6.6;14;30;44;11;1;6.4;6;27;46;20;0;7.1;3;30;53;13;0;7.0;5;24;54;17;0;7.2;7;18;43;31;1;7.5;4;20;47;29;0;7.6;7;24;47;22;0;7.2
"Posavska";9;32;40;19;1;6.8;6;28;49;16;0;6.9;11;31;47;11;1;6.6;9;29;46;15;0;6.8;5;30;45;20;0;7.0;10;27;49;14;0;6.8;10;25;49;15;0;6.7;7;21;47;25;0;7.3;5;20;61;13;0;7.2
"Jugovzhodna Slovenija";8;26;48;17;1;6.9;9;28;42;21;0;6.9;8;27;45;18;1;6.9;8;24;51;18;0;7.1;8;25;48;19;0;7.1;6;18;53;23;0;7.4;5;20;49;25;1;7.4;6;16;50;27;1;7.5;3;19;51;27;0;7.6
"Osrednjeslovenska";7;24;47;22;1;7.2;7;22;49;22;1;7.2;8;23;47;20;1;7.1;6;21;51;22;0;7.3;6;21;50;22;1;7.3;5;20;50;25;0;7.4;5;18;48;28;0;7.5;4;16;52;28;0;7.6;5;17;52;26;0;7.5
"Gorenjska";5;23;45;27;1;7.3;10;23;44;22;0;7.1;9;24;48;18;1;6.9;8;21;46;24;1;7.3;8;19;48;25;0;7.3;5;19;51;25;0;7.4;5;14;51;29;0;7.6;3;15;53;29;0;7.7;4;17;48;31;1;7.6
"Primorsko-notranjska";7;22;44;27;0;7.3;9;27;42;21;0;7.0;9;24;46;20;1;7.1;6;27;51;16;0;7.0;6;26;56;13;1;7.0;4;27;48;20;0;7.2;5;32;46;17;0;7.0;4;15;60;21;0;7.5;7;18;54;21;0;7.3
"Goriška";5;30;45;20;0;7.1;7;30;45;18;0;7.0;8;28;45;20;0;7.0;5;25;45;25;0;7.3;7;25;43;24;1;7.2;5;21;50;22;1;7.3;6;18;52;24;1;7.4;3;16;52;28;1;7.7;3;17;51;29;0;7.6
"Obalno-kraška";9;22;48;21;1;7.1;11;25;44;20;0;6.9;8;28;45;18;1;6.9;8;21;48;22;1;7.2;7;22;48;22;1;7.2;7;25;45;23;0;7.3;5;21;52;22;0;7.4;3;16;57;23;1;7.5;7;16;49;27;0;7.5
