"Delovno aktivno prebivalstvo po obèinah prebivališèa in spolu, Slovenija, letno"

"OBÈINE";"SPOL";"2005 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2006 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2007 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2008 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2009 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2010 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2011 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2012 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2013 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2014 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2015 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2016 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2017 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2018 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2019 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2020 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ"
"SLOVENIJA";"Spol - SKUPAJ";813100;824839;853999;879257;858171;835039;823967;810001;793597;797792;804637;817209;845454;872772;894229;888918
"Ajdovšèina";"Spol - SKUPAJ";7412;7444;7702;8073;8020;7753;7475;7298;7107;7236;7414;7609;7948;8265;8489;8750
"Ankaran/Ancarano";"Spol - SKUPAJ";-;-;-;-;-;-;-;-;-;-;1355;1379;1383;1414;1433;1391
"Apaèe";"Spol - SKUPAJ";-;-;1337;1358;1317;1262;1218;1163;1118;1092;1084;1047;1060;1061;1060;1062
"Beltinci";"Spol - SKUPAJ";3384;3438;3511;3563;3418;3192;3247;3134;3091;3007;2973;2976;3020;3130;3141;3157
"Benedikt";"Spol - SKUPAJ";820;853;918;976;966;962;1000;995;959;966;958;955;989;1047;1063;1053
"Bistrica ob Sotli";"Spol - SKUPAJ";517;526;546;562;547;526;570;521;527;522;499;503;527;542;545;554
"Bled";"Spol - SKUPAJ";4348;4401;3342;3335;3248;3176;3166;3126;3058;3058;3071;3148;3195;3284;3395;3340
"Bloke";"Spol - SKUPAJ";692;731;768;777;725;680;695;669;630;643;643;653;690;750;760;753
"Bohinj";"Spol - SKUPAJ";2188;2181;2206;2252;2222;2146;2053;2031;2009;2010;2020;2019;2128;2200;2257;2330
"Borovnica";"Spol - SKUPAJ";1705;1741;1810;1841;1813;1802;1757;1677;1624;1677;1695;1739;1826;1926;1977;2020
"Bovec";"Spol - SKUPAJ";1298;1276;1325;1349;1295;1252;1271;1254;1177;1152;1151;1171;1222;1281;1315;1324
"Braslovèe";"Spol - SKUPAJ";2070;2131;2236;2305;2235;2208;2215;2215;2161;2177;2173;2232;2302;2351;2398;2494
"Brda";"Spol - SKUPAJ";2060;2090;2198;2259;2207;2154;2117;2114;2058;2023;2109;2143;2182;2236;2261;2304
"Brezovica";"Spol - SKUPAJ";4221;4284;4408;4618;4655;4792;4833;4840;4807;4880;4921;5068;5250;5507;5703;5694
"Brežice";"Spol - SKUPAJ";9161;9310;9700;9983;9827;9561;9508;9123;9070;9009;9061;9093;9442;9732;9994;9993
"Cankova";"Spol - SKUPAJ";682;690;715;723;685;649;651;624;609;595;578;556;580;577;583;588
"Celje";"Spol - SKUPAJ";19130;19427;20340;21398;20511;19670;19141;18816;18332;18424;18578;19138;20138;20983;21753;21139
"Cerklje na Gorenjskem";"Spol - SKUPAJ";2702;2763;2847;2939;2953;2945;2943;2957;2976;3076;3147;3264;3354;3435;3535;3561
"Cerknica";"Spol - SKUPAJ";4627;4732;4925;5089;5024;4892;4898;4834;4711;4744;4808;4918;4980;5129;5272;5337
"Cerkno";"Spol - SKUPAJ";2340;2353;2378;2382;2281;2225;2217;2247;2180;2154;2098;2031;2063;2083;2083;2046
"Cerkvenjak";"Spol - SKUPAJ";757;770;835;872;843;814;838;814;793;857;847;842;865;877;898;894
"Cirkulane";"Spol - SKUPAJ";-;-;871;935;920;915;915;915;902;950;902;914;924;980;1000;963
"Èrenšovci";"Spol - SKUPAJ";1582;1619;1687;1713;1624;1505;1541;1432;1401;1386;1363;1364;1381;1413;1456;1506
"Èrna na Koroškem";"Spol - SKUPAJ";1394;1378;1393;1402;1346;1276;1273;1291;1260;1233;1226;1208;1216;1221;1220;1221
"Èrnomelj";"Spol - SKUPAJ";6137;6176;6441;6625;6227;6085;5962;5658;5529;5504;5429;5513;5882;6168;6132;5924
"Destrnik";"Spol - SKUPAJ";1029;1054;1119;1158;1126;1108;1102;1064;1065;1063;1046;1033;1074;1106;1149;1131
"Divaèa";"Spol - SKUPAJ";1712;1732;1796;1824;1786;1718;1689;1684;1634;1661;1658;1659;1737;1839;1922;1886
"Dobje";"Spol - SKUPAJ";362;370;382;397;390;389;402;409;410;410;400;400;417;440;452;437
"Dobrepolje";"Spol - SKUPAJ";1502;1526;1584;1620;1616;1590;1619;1582;1565;1555;1569;1594;1637;1648;1673;1712
"Dobrna";"Spol - SKUPAJ";886;897;927;954;937;898;895;880;879;878;876;878;909;924;939;942
"Dobrova - Polhov Gradec";"Spol - SKUPAJ";2853;2904;3004;3079;3095;2993;3074;3107;3077;3058;3097;3101;3255;3353;3466;3526
"Dobrovnik/Dobronak";"Spol - SKUPAJ";460;484;492;506;471;463;460;433;413;418;411;415;416;445;464;470
"Dol pri Ljubljani";"Spol - SKUPAJ";2017;2093;2204;2318;2358;2393;2415;2442;2416;2434;2474;2536;2617;2739;2848;2869
"Dolenjske Toplice";"Spol - SKUPAJ";1498;1499;1560;1576;1532;1512;1432;1375;1354;1385;1427;1470;1523;1573;1653;1630
"Domžale";"Spol - SKUPAJ";13377;13774;14310;14772;14734;14647;14505;14333;14208;14338;14664;15060;15586;16106;16536;16525
"Dornava";"Spol - SKUPAJ";1051;1085;1141;1159;1113;1073;1084;1029;1017;1025;1054;1055;1063;1102;1123;1130
"Dravograd";"Spol - SKUPAJ";3660;3696;3810;3913;3809;3639;3600;3515;3322;3289;3274;3283;3365;3445;3527;3534
