"Prebivalstvo, staro 15 ali veè let, po izobrazbi in spolu, obèine, letno"

"SPOL";"OBÈINE";"2011 Osnovnošolska ali manj - Skupaj";"2011 Srednješolska - Skupaj";"2011 Višješolska, visokošolska - Skupaj";"2012 Osnovnošolska ali manj - Skupaj";"2012 Srednješolska - Skupaj";"2012 Višješolska, visokošolska - Skupaj";"2013 Osnovnošolska ali manj - Skupaj";"2013 Srednješolska - Skupaj";"2013 Višješolska, visokošolska - Skupaj";"2014 Osnovnošolska ali manj - Skupaj";"2014 Srednješolska - Skupaj";"2014 Višješolska, visokošolska - Skupaj";"2015 Osnovnošolska ali manj - Skupaj";"2015 Srednješolska - Skupaj";"2015 Višješolska, visokošolska - Skupaj";"2016 Osnovnošolska ali manj - Skupaj";"2016 Srednješolska - Skupaj";"2016 Višješolska, visokošolska - Skupaj";"2017 Osnovnošolska ali manj - Skupaj";"2017 Srednješolska - Skupaj";"2017 Višješolska, visokošolska - Skupaj";"2018 Osnovnošolska ali manj - Skupaj";"2018 Srednješolska - Skupaj";"2018 Višješolska, visokošolska - Skupaj";"2019 Osnovnošolska ali manj - Skupaj";"2019 Srednješolska - Skupaj";"2019 Višješolska, visokošolska - Skupaj";"2020 Osnovnošolska ali manj - Skupaj";"2020 Srednješolska - Skupaj";"2020 Višješolska, visokošolska - Skupaj"
"Spol - SKUPAJ";"SLOVENIJA";513079;938588;307669;494454;935495;331398;480901;937913;341912;470104;928291;361637;457188;926435;374941;443608;925832;388358;431161;919143;406997;419278;920661;416264;406998;932871;427333;403570;940600;435889
"Spol - SKUPAJ";"Ajdovšèina";5411;8148;2457;5221;8062;2702;5030;8109;2767;4870;7952;2943;4759;7973;3066;4635;8011;3225;4531;7952;3390;4398;7999;3474;4235;8146;3583;4228;8229;3659
"Spol - SKUPAJ";"Ankaran/Ancarano";-;-;-;-;-;-;-;-;-;-;-;-;650;1392;759;623;1396;799;615;1382;822;586;1373;836;546;1404;839;554;1405;853
"Spol - SKUPAJ";"Apaèe";1323;1619;226;1275;1627;248;1225;1642;261;1198;1639;295;1142;1650;305;1101;1655;327;1056;1638;360;1029;1647;366;1006;1641;381;981;1661;391
"Spol - SKUPAJ";"Beltinci";2662;3674;767;2575;3688;855;2496;3727;896;2434;3733;966;2334;3742;1000;2277;3771;1039;2198;3752;1110;2128;3729;1140;2062;3721;1149;2004;3715;1183
"Spol - SKUPAJ";"Benedikt";798;1009;162;759;1049;192;752;1045;207;708;1075;234;695;1075;259;678;1101;276;658;1114;290;645;1133;302;606;1185;317;604;1213;337
"Spol - SKUPAJ";"Bistrica ob Sotli";503;550;151;485;542;165;476;545;165;457;545;170;458;541;180;431;540;192;428;535;200;417;544;200;388;555;195;370;569;206
"Spol - SKUPAJ";"Bled";1368;4084;1584;1328;4076;1678;1317;4021;1726;1279;3957;1836;1232;3912;1876;1163;3876;1896;1121;3758;1999;1065;3693;2025;1007;3685;2062;1005;3698;2105
"Spol - SKUPAJ";"Bloke";476;684;202;468;679;224;456;680;232;426;658;254;403;658;255;375;668;264;351;674;270;339;670;282;325;700;288;309;708;295
"Spol - SKUPAJ";"Bohinj";1147;2737;634;1082;2731;666;1053;2729;698;1027;2659;763;968;2632;818;930;2625;844;895;2624;894;869;2601;911;820;2615;939;815;2629;965
"Spol - SKUPAJ";"Borovnica";1033;1885;500;1002;1851;562;936;1881;581;918;1908;654;894;1954;696;857;1964;733;833;1969;806;810;1954;847;794;2001;866;819;2029;885
"Spol - SKUPAJ";"Bovec";1082;1404;387;1003;1389;413;967;1429;410;941;1397;436;901;1395;454;875;1403;474;831;1371;506;807;1395;505;786;1374;537;766;1401;563
"Spol - SKUPAJ";"Braslovèe";1327;2454;723;1299;2477;799;1260;2470;849;1225;2427;934;1183;2411;986;1166;2400;1031;1133;2391;1128;1109;2370;1146;1056;2383;1181;1040;2435;1234
"Spol - SKUPAJ";"Brda";1678;2644;669;1615;2669;717;1574;2661;737;1550;2593;801;1504;2565;840;1450;2566;895;1390;2549;937;1326;2546;982;1256;2564;1001;1223;2570;1019
"Spol - SKUPAJ";"Brezovica";2156;5204;1852;2087;5246;2061;2045;5341;2185;2066;5262;2368;2022;5256;2490;2011;5245;2593;1976;5230;2733;1905;5261;2840;1874;5368;2949;1858;5572;3007
"Spol - SKUPAJ";"Brežice";6456;11480;3161;6170;11517;3364;6048;11515;3443;5884;11418;3647;5669;11378;3826;5522;11450;3953;5334;11390;4138;5242;11285;4227;5017;11386;4314;4894;11425;4367
