"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Število prebivalcev - 1. januar";"SLOVENIJA";2025866;2032362;2046976;2050189;2055496;2058821;2061085;2062874;2064188;2065895;2066880;2080908;2095861;2108977
"Število prebivalcev - 1. januar";"Ajdovšèina";18705;18651;18854;18939;18958;18955;18848;18959;19047;19093;19130;19249;19418;19704
"Število prebivalcev - 1. januar";"Ankaran/Ancarano";-;-;-;-;-;-;-;3219;3235;3229;3209;3206;3224;3261
"Število prebivalcev - 1. januar";"Apaèe";3646;3629;3611;3637;3633;3610;3623;3591;3581;3544;3546;3516;3533;3556
"Število prebivalcev - 1. januar";"Beltinci";8540;8337;8358;8333;8335;8302;8334;8264;8261;8233;8183;8104;8059;8068
"Število prebivalcev - 1. januar";"Benedikt";2299;2354;2368;2395;2439;2430;2464;2461;2491;2486;2514;2577;2615;2614
"Število prebivalcev - 1. januar";"Bistrica ob Sotli";1454;1408;1418;1436;1421;1404;1390;1382;1365;1353;1346;1327;1336;1356
"Število prebivalcev - 1. januar";"Bled";8188;8148;8131;8122;8177;8171;8192;8127;8035;7981;7873;7835;7868;8217
"Število prebivalcev - 1. januar";"Bloke";1641;1577;1568;1576;1585;1584;1569;1545;1538;1522;1532;1555;1564;1616
"Število prebivalcev - 1. januar";"Bohinj";5294;5217;5287;5257;5198;5206;5176;5146;5139;5149;5125;5105;5145;5611
"Število prebivalcev - 1. januar";"Borovnica";3921;3933;3948;3984;3993;3992;4153;4250;4275;4376;4412;4483;4579;4664
"Število prebivalcev - 1. januar";"Bovec";3312;3175;3197;3256;3186;3195;3147;3134;3124;3082;3049;3048;3073;3245
"Število prebivalcev - 1. januar";"Braslovèe";5214;5175;5213;5291;5378;5409;5442;5447;5473;5556;5524;5523;5639;5656
"Število prebivalcev - 1. januar";"Brda";5749;5669;5740;5751;5761;5734;5707;5662;5659;5625;5623;5602;5619;5639
"Število prebivalcev - 1. januar";"Brezovica";10283;10552;10806;11129;11382;11620;11761;11884;11974;12092;12186;12412;12671;12785
"Število prebivalcev - 1. januar";"Brežice";24459;24238;24330;24301;24306;24285;24252;24184;24254;24204;24086;24084;24051;24419
"Število prebivalcev - 1. januar";"Cankova";2012;1920;1902;1889;1890;1889;1850;1834;1814;1794;1755;1735;1734;1753
"Število prebivalcev - 1. januar";"Celje";49501;48991;48783;48592;48653;48675;48868;48773;49077;49380;49377;49473;49540;49007
"Število prebivalcev - 1. januar";"Cerklje na Gorenjskem";6762;6848;7011;7105;7188;7243;7347;7364;7506;7569;7619;7632;7769;7859
"Število prebivalcev - 1. januar";"Cerknica";11021;11013;11181;11226;11333;11268;11293;11387;11402;11494;11491;11554;11580;11691
"Število prebivalcev - 1. januar";"Cerkno";5005;4760;4779;4777;4804;4786;4730;4687;4644;4602;4588;4580;4547;4547
"Število prebivalcev - 1. januar";"Cerkvenjak";2111;2049;2051;2035;2012;2009;2015;2058;2044;2074;2037;2058;2083;2171
"Število prebivalcev - 1. januar";"Cirkulane";2326;2283;2313;2299;2296;2312;2343;2339;2287;2344;2324;2391;2345;2378
"Število prebivalcev - 1. januar";"Èrenšovci";4341;4190;4163;4137;4144;4052;4021;4016;4002;3951;3926;3949;3968;3972
"Število prebivalcev - 1. januar";"Èrna na Koroškem";3540;3634;3602;3545;3528;3473;3406;3362;3337;3308;3314;3303;3285;3252
