"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"SLOVENIJA";899.80;930.00;966.62;987.39;991.44;997.01;1005.41;1013.23;1030.16;1062.00;1092.74;1133.50;1208.65;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ajdovšèina";861.14;875.66;917.59;953.70;922.82;927.51;934.23;941.89;964.50;987.79;1014.56;1055.98;1112.12;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ankaran/Ancarano";-;-;-;-;-;-;-;946.57;992.70;1031.90;1073.09;1113.57;1213.04;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Apaèe";829.80;863.03;883.93;870.53;852.28;871.73;859.97;871.31;918.21;935.39;946.65;978.90;1061.52;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Beltinci";724.17;753.86;775.85;808.39;814.99;815.16;830.84;849.22;859.58;886.47;915.36;953.26;1007.20;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Benedikt";836.36;852.68;903.57;918.12;917.47;905.37;925.57;911.88;939.26;950.53;934.30;966.69;1017.28;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Bistrica ob Sotli";842.48;881.26;908.28;888.27;900.91;918.69;910.77;917.68;908.67;954.98;990.28;1042.67;1204.63;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Bled";889.74;899.51;925.35;949.81;950.62;961.79;974.93;940.96;963.03;1009.22;1051.54;1083.43;1120.64;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Bloke";817.01;764.04;763.88;740.13;777.41;800.06;776.24;783.15;829.21;881.85;933.69;997.50;1060.80;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Bohinj";727.87;734.25;758.08;786.03;786.86;804.38;812.21;798.95;828.48;865.32;901.80;942.68;964.97;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Borovnica";778.49;749.44;809.60;838.54;894.98;894.02;866.22;893.07;932.89;975.54;978.76;1004.54;1051.22;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Bovec";772.68;780.04;823.11;877.79;872.98;935.95;930.76;935.07;947.71;967.27;978.03;1013.69;1095.34;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Braslovèe";804.96;838.64;852.41;882.60;868.33;864.52;885.92;899.37;922.49;975.76;1027.91;1046.48;1098.80;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Brda";884.21;900.65;891.94;954.89;922.07;945.65;965.47;927.81;944.88;989.64;1022.86;1053.76;1034.99;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Brezovica";782.18;814.13;866.96;889.30;897.60;894.70;875.28;874.78;888.87;938.63;964.31;1025.21;1103.02;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Brežice";819.61;861.18;887.33;912.24;906.13;904.73;916.54;926.70;948.78;972.63;987.83;1029.86;1117.05;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Cankova";882.35;921.55;975.49;912.90;899.16;917.21;929.21;924.47;895.36;901.84;932.42;965.71;1050.54;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Celje";886.65;914.19;941.93;966.03;968.84;969.30;984.36;988.95;1001.23;1030.70;1055.86;1093.56;1166.65;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Cerklje na Gorenjskem";1179.98;1147.61;1173.70;1182.71;1187.71;1378.65;1393.08;1431.88;1404.53;1438.70;1445.17;1433.90;1387.58;...
