"Stanovanjske razmere, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"2008 Slabo stanje stanovanja";"2009 Slabo stanje stanovanja";"2010 Slabo stanje stanovanja";"2011 Slabo stanje stanovanja";"2012 Slabo stanje stanovanja";"2013 Slabo stanje stanovanja";"2014 Slabo stanje stanovanja";"2015 Slabo stanje stanovanja";"2016 Slabo stanje stanovanja";"2017 Slabo stanje stanovanja";"2018 Slabo stanje stanovanja";"2019 Slabo stanje stanovanja";"2020 Slabo stanje stanovanja"
"SLOVENIJA";31;31;33;35;32;28;30;27;24;23;23;21;22
"Pomurska";34;29;44;40;34;31;37;35;35;32;31;28;27
"Podravska";30;31;34;33;30;27;30;30;26;25;20;21;24
"Koroška";31;32;32;30;30;24;22;16;17;14;14;11;15
"Savinjska";36;33;35;36;33;29;26;26;23;23;25;24;23
"Zasavska";39;47;34;41;37;27;33;27;32;34;29;23;25
"Posavska";29;30;26;27;27;23;23;28;28;29;28;22;25
"Jugovzhodna Slovenija";32;38;37;41;38;28;34;30;21;22;24;22;20
"Osrednjeslovenska";30;28;31;32;29;26;28;24;20;19;20;19;20
"Gorenjska";25;26;29;34;29;25;28;25;22;18;17;16;18
"Primorsko-notranjska";24;39;30;45;38;37;40;24;21;23;32;20;21
"Goriška";35;35;37;41;39;31;37;33;30;32;37;29;26
"Obalno-kraška";27;28;34;42;32;32;43;27;23;26;28;20;27
