"Samoocena splošnega zadovoljstva z življenjem po statistiènih regijah, Slovenija, letno"

"STATISTIÈNA REGIJA";"2012 Povpreèje";"2013 Povpreèje";"2014 Povpreèje";"2015 Povpreèje";"2016 Povpreèje";"2017 Povpreèje";"2018 Povpreèje";"2019 Povpreèje";"2020 Povpreèje"
"SLOVENIJA";7.1;7.0;6.9;7.1;7.1;7.2;7.3;7.5;7.4
"Pomurska";6.8;6.7;6.6;6.8;6.8;6.9;6.8;7.1;6.9
"Podravska";6.8;6.9;6.8;6.9;7.0;7.1;7.2;7.6;7.3
"Koroška";7.0;6.9;6.6;6.6;6.7;6.8;7.3;7.1;6.8
"Savinjska";7.1;7.0;6.9;6.9;6.8;7.2;7.2;7.4;7.3
"Zasavska";6.9;6.6;6.4;7.1;7.0;7.2;7.5;7.6;7.2
"Posavska";6.8;6.9;6.6;6.8;7.0;6.8;6.7;7.3;7.2
"Jugovzhodna Slovenija";6.9;6.9;6.9;7.1;7.1;7.4;7.4;7.5;7.6
"Osrednjeslovenska";7.2;7.2;7.1;7.3;7.3;7.4;7.5;7.6;7.5
"Gorenjska";7.3;7.1;6.9;7.3;7.3;7.4;7.6;7.7;7.6
"Primorsko-notranjska";7.3;7.0;7.1;7.0;7.0;7.2;7.0;7.5;7.3
"Goriška";7.1;7.0;7.0;7.3;7.2;7.3;7.4;7.7;7.6
"Obalno-kraška";7.1;6.9;6.9;7.2;7.2;7.3;7.4;7.5;7.5
