"Polnoletni storilci zoper katere je bil kazenski postopek pri državnem tožilstvu konèan po kaznivem dejanju, spolu, starosti ob storitvi kaznivega dejanja in vrsti odloèbe, Slovenija, letno"

"KAZNIVO DEJANJE";"VRSTA ODLOÈBE";"Moški Starost - SKUPAJ 2013";"Moški Starost - SKUPAJ 2014";"Moški Starost - SKUPAJ 2015";"Moški Starost - SKUPAJ 2016";"Moški Starost - SKUPAJ 2017";"Moški Starost - SKUPAJ 2018";"Moški Starost - SKUPAJ 2019";"Moški Starost - SKUPAJ 2020";"Moški do 20 let 2013";"Moški do 20 let 2014";"Moški do 20 let 2015";"Moški do 20 let 2016";"Moški do 20 let 2017";"Moški do 20 let 2018";"Moški do 20 let 2019";"Moški do 20 let 2020";"Moški od 21 do 30 let 2013";"Moški od 21 do 30 let 2014";"Moški od 21 do 30 let 2015";"Moški od 21 do 30 let 2016";"Moški od 21 do 30 let 2017";"Moški od 21 do 30 let 2018";"Moški od 21 do 30 let 2019";"Moški od 21 do 30 let 2020";"Moški od 31 do 40 let 2013";"Moški od 31 do 40 let 2014";"Moški od 31 do 40 let 2015";"Moški od 31 do 40 let 2016";"Moški od 31 do 40 let 2017";"Moški od 31 do 40 let 2018";"Moški od 31 do 40 let 2019";"Moški od 31 do 40 let 2020";"Moški od 41 do 50 let 2013";"Moški od 41 do 50 let 2014";"Moški od 41 do 50 let 2015";"Moški od 41 do 50 let 2016";"Moški od 41 do 50 let 2017";"Moški od 41 do 50 let 2018";"Moški od 41 do 50 let 2019";"Moški od 41 do 50 let 2020";"Moški od 51 do 60 let 2013";"Moški od 51 do 60 let 2014";"Moški od 51 do 60 let 2015";"Moški od 51 do 60 let 2016";"Moški od 51 do 60 let 2017";"Moški od 51 do 60 let 2018";"Moški od 51 do 60 let 2019";"Moški od 51 do 60 let 2020";"Moški nad 60 let 2013";"Moški nad 60 let 2014";"Moški nad 60 let 2015";"Moški nad 60 let 2016";"Moški nad 60 let 2017";"Moški nad 60 let 2018";"Moški nad 60 let 2019";"Moški nad 60 let 2020";"Ženske Starost - SKUPAJ 2013";"Ženske Starost - SKUPAJ 2014";"Ženske Starost - SKUPAJ 2015";"Ženske Starost - SKUPAJ 2016";"Ženske Starost - SKUPAJ 2017";"Ženske Starost - SKUPAJ 2018";"Ženske Starost - SKUPAJ 2019";"Ženske Starost - SKUPAJ 2020";"Ženske do 20 let 2013";"Ženske do 20 let 2014";"Ženske do 20 let 2015";"Ženske do 20 let 2016";"Ženske do 20 let 2017";"Ženske do 20 let 2018";"Ženske do 20 let 2019";"Ženske do 20 let 2020";"Ženske od 21 do 30 let 2013";"Ženske od 21 do 30 let 2014";"Ženske od 21 do 30 let 2015";"Ženske od 21 do 30 let 2016";"Ženske od 21 do 30 let 2017";"Ženske od 21 do 30 let 2018";"Ženske od 21 do 30 let 2019";"Ženske od 21 do 30 let 2020";"Ženske od 31 do 40 let 2013";"Ženske od 31 do 40 let 2014";"Ženske od 31 do 40 let 2015";"Ženske od 31 do 40 let 2016";"Ženske od 31 do 40 let 2017";"Ženske od 31 do 40 let 2018";"Ženske od 31 do 40 let 2019";"Ženske od 31 do 40 let 2020";"Ženske od 41 do 50 let 2013";"Ženske od 41 do 50 let 2014";"Ženske od 41 do 50 let 2015";"Ženske od 41 do 50 let 2016";"Ženske od 41 do 50 let 2017";"Ženske od 41 do 50 let 2018";"Ženske od 41 do 50 let 2019";"Ženske od 41 do 50 let 2020";"Ženske od 51 do 60 let 2013";"Ženske od 51 do 60 let 2014";"Ženske od 51 do 60 let 2015";"Ženske od 51 do 60 let 2016";"Ženske od 51 do 60 let 2017";"Ženske od 51 do 60 let 2018";"Ženske od 51 do 60 let 2019";"Ženske od 51 do 60 let 2020";"Ženske nad 60 let 2013";"Ženske nad 60 let 2014";"Ženske nad 60 let 2015";"Ženske nad 60 let 2016";"Ženske nad 60 let 2017";"Ženske nad 60 let 2018";"Ženske nad 60 let 2019";"Ženske nad 60 let 2020"
"KAZNIVO DEJANJE - SKUPAJ";"Odloèba tožilstva - SKUPAJ";23205;26200;29175;27142;26278;22667;22306;21927;1536;1725;1862;1730;1739;1335;1194;1080;6442;7013;7139;6310;5947;4879;4835;4796;6358;7546;8466;7856;7643;6558;6558;6497;4599;5133;6016;5580;5456;4800;4853;4982;2818;3126;3743;3639;3383;3028;2913;2723;1452;1657;1949;2027;2110;2067;1953;1849;5975;6572;7658;7132;6715;5948;5892;5666;303;327;356;350;376;310;300;252;1300;1514;1538;1402;1269;1188;1164;1018;1623;1792;2126;2039;1883;1535;1594;1606;1308;1375;1699;1601;1444;1311;1329;1301;880;986;1151;1014;1038;894;825;818;561;578;788;726;705;710;680;671
"1. KAZENSKI ZAKONIK (KZ-UPB1)";"Odloèba tožilstva - SKUPAJ";797;605;501;387;305;204;141;89;28;14;11;8;4;7;8;5;177;155;109;53;40;29;30;16;261;181;148;110;97;62;46;27;204;152;144;106;82;51;29;18;97;82;69;92;64;45;25;16;30;21;20;18;18;10;3;7;173;120;128;80;87;39;15;10;4;-;3;1;2;2;-;1;27;21;25;10;23;4;1;3;59;28;30;22;21;14;4;2;52;43;41;30;23;6;6;2;23;25;22;12;12;10;3;2;8;3;7;5;6;3;1;-
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO";"Odloèba tožilstva - SKUPAJ";9;7;3;4;7;-;-;7;0;-;-;-;-;-;-;5;4;3;1;2;2;-;-;1;2;1;1;1;1;-;-;-;3;2;-;1;3;-;-;1;0;1;-;-;1;-;-;-;0;-;1;-;-;-;-;-;2;1;-;1;-;1;1;-;0;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;0;1;-;-;-;-;1;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-
"1.XV.127 umor";"Odloèba tožilstva - SKUPAJ";2;2;1;-;5;-;-;-;0;-;-;-;-;-;-;-;1;2;-;-;2;-;-;-;1;-;1;-;1;-;-;-;0;-;-;-;1;-;-;-;0;-;-;-;1;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.127010 umor - od. 1.";"Odloèba tožilstva - SKUPAJ";2;-;-;-;5;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;0;-;-;-;1;-;-;-;0;-;-;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.127021 umor - od. 2, tè. 1";"Odloèba tožilstva - SKUPAJ";0;1;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.127031 umor - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"1.XV.129 povzroèitev smrti iz malomarnosti";"Odloèba tožilstva - SKUPAJ";0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.129000 povzroèitev smrti iz malomarnosti";"Odloèba tožilstva - SKUPAJ";0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"1.XV.130 detomor";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
